"prefecture","population","pop_density","lat","lon","トマト","なす","はくさい","りんご","ぶどう"
"愛知県",7483128,1446.7,35.1801883,136.9065647,46900,13000,22700,0,4360
"愛媛県",1385262,244.1,33.8416238,132.7656808,7800,3670,4450,0,1160
"茨城県",2916976,478.4,36.3418112,140.4467935,49000,17800,242400,0,0
"岡山県",1921525,270.1,34.6617511,133.9344057,5490,5450,15800,0,14900
"沖縄県",1433566,628.4,26.2124013,127.6809317,3610,944,252,0,0
"岩手県",1279594,83.8,39.7036194,141.1526839,9750,3010,7070,43800,3430
"岐阜県",2031903,191.3,35.3912272,136.7222906,26500,3340,6910,1960,0
"宮崎県",1104069,142.7,31.9110956,131.4238934,18600,2310,10100,0,1920
"宮城県",2333899,320.5,38.2688373,140.8721,8470,2440,8160,3460,0
"京都府",2610353,566,35.0212466,135.7555968,5130,9180,3400,0,0
"熊本県",1786170,241.1,32.789827,130.7416672,129300,30700,16100,0,0
"群馬県",1973115,310.1,36.3906675,139.0604061,23000,23500,28500,8670,1070
"広島県",2843990,335.4,34.3965603,132.4596225,9300,2540,6070,1410,3270
"香川県",976263,520.2,34.3401491,134.0434436,3420,1910,814,0,1150
"高知県",728276,102.5,33.5597062,133.5310786,5390,38900,2320,0,0
"佐賀県",832832,341.2,33.2494416,130.2997942,3850,3200,2290,0,0
"埼玉県",7266534,1913.4,35.8569991,139.6488487,15600,8480,22900,0,1480
"三重県",1815865,314.5,34.7302829,136.5085883,8890,2590,7220,0,0
"山形県",1123891,120.5,38.2404355,140.3636333,10300,6310,6080,45700,18700
"山口県",1404729,229.8,34.1859563,131.4706493,5020,2250,4820,0,0
"山梨県",834930,187,35.6641575,138.5684486,6030,7200,4140,864,42500
"滋賀県",1412916,351.7,35.0045306,135.8685899,3560,2740,4210,0,477
"鹿児島県",1648177,179.4,31.5601464,130.5579779,5420,2090,22000,0,0
"秋田県",1023119,87.9,39.7186135,140.1023643,7850,4510,6230,24500,1990
"新潟県",2304264,183.1,37.9025518,139.0230946,12500,8120,6750,0,2540
"神奈川県",9126214,3777.7,35.4475073,139.6423446,13200,4120,4680,0,0
"青森県",1308265,135.6,40.8243077,140.7399984,17300,1340,6130,447800,4080
"静岡県",3700305,475.8,34.9771201,138.3830845,14400,2270,5460,0,0
"石川県",1154008,275.7,36.5946816,136.6255726,4460,1580,2050,653,1160
"千葉県",6222666,1206.5,35.6050574,140.1233063,41200,8650,9810,0,0
"大阪府",8839469,4639.8,34.6862971,135.5196609,2450,7190,1300,0,4910
"大分県",1166338,183.9,33.2381718,131.6126189,9900,2430,19600,0,2610
"長崎県",1377187,333.3,32.7448388,129.8737562,11700,1690,20600,0,0
"長野県",2098804,154.8,36.6512986,138.1809557,20300,4830,229300,142100,28800
"鳥取県",573441,163.5,35.5038906,134.2377356,3290,1210,3470,0,739
"島根県",694352,103.5,35.4722952,133.0504997,3170,1950,4390,0,2300
"東京都",13515271,6168.7,35.6894875,139.6917064,3550,1900,3750,0,0
"徳島県",755733,182.3,34.0657179,134.5593601,4770,8200,4840,0,0
"栃木県",1974255,308.1,36.565725,139.8835651,36400,14100,27100,0,0
"奈良県",1364316,369.6,34.6853345,135.8327421,4020,5790,3790,0,0
"富山県",1066328,251,36.6952907,137.2113382,1620,2220,1540,1360,213
"福井県",786740,187.7,36.0651779,136.2215269,2280,1320,1250,0,0
"福岡県",5101556,1023.1,33.6065756,130.418297,19200,17900,6760,0,8020
"福島県",1914039,138.9,37.7502986,140.4675514,26600,5030,16400,27000,2730
"兵庫県",5534800,658.8,34.6912688,135.1830706,7630,3800,20200,0,0
"北海道",5381733,68.6,43.0646147,141.3468074,59200,417,24600,7590,6140
"和歌山県",963579,203.9,34.2259867,135.1675086,6060,2010,10100,0,0
